activ	provin	anio
9	SANTO DOMINGO DE LOS TSACHILAS	2017
9	SANTO DOMINGO DE LOS TSACHILAS	2017
9	SANTO DOMINGO DE LOS TSACHILAS	2017
9	SANTO DOMINGO DE LOS TSACHILAS	2017
9	SANTO DOMINGO DE LOS TSACHILAS	2017
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2015
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2016
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	SUCUMBIOS	2017
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
